route_id,route_short_name,route_long_name,circuity_index,actual_time_formatted,shortest_path_time_formatted,start_stop,start_stop_name,end_stop,end_stop_name,actual_time_seconds,shortest_path_time_seconds
LTFRB_PUJ2550,,Molino-Soldiers Hills,14.367924528301886,00:25:23,00:01:46,LTFRB_2695,"Alvarez Extension / Magdiwang Rd Intersection, Las Piñas City, Manila",LTFRB_2696,"Magdiwang Rd, Las Piñas City, Manila",1523.0,106.0
LTFRB_PUB1109,,"Asturias-Ayala via Buendia Ave, Taft Ave",7.753105590062112,01:23:13,00:10:44,LTFRB_4270,"South Luzon Expressway, Makati City, Manila",LTFRB_1970,"Makati Ave / Ayala Avenue Intersection, Makati City, Manila",4993.0,644.0
LTFRB_PUJ1359,,Guadalupe Mkt. - L. Guinto via Pasig Line,4.847181008902077,00:54:27,00:11:14,LTFRB_1994,"Tejeron, Makati City, Manila",LTFRB_1878,Angel Linao / Pedro Gil,3267.0,674.0
LTFRB_PUJ1650,,Kamagong - Malugay Ave.,3.456730769230769,00:11:59,00:03:28,LTFRB_1935,"Don Chino Roces Avenue / Pryce Center, Makati City",LTFRB_2012,"Ayala Ave / B Yakal Intersection, Makati City, Manila",719.0,208.0
LTFRB_PUB1108,,"Asturias-Ayala via Buendia Ave, Taft Ave",3.251775848460931,01:08:40,00:21:07,LTFRB_1970,"Makati Ave / Ayala Avenue Intersection, Makati City, Manila",LTFRB_1899,"President Quirino Ave / Angel Linao Intersection, Manila",4120.0,1267.0
LTFRB_PUJ1770,,CUBAO-PROJ2-3,2.6475155279503104,00:28:25,00:10:44,LTFRB_2174,"General Romulo Ave ,Quezon City, Manila",LTFRB_2200,"Don Quintin Paredes High School, Anonas, Quezon City, Manila",1705.0,644.0
LTFRB_PUJ1114,,Bagumbayan (Taguig) - Sucat,2.574074074074074,00:18:32,00:07:12,LTFRB_2637,"Manuel L. Quezon, Muntinlupa City, Manila",LTFRB_2632,"Manuel L. Quezon, Muntinlupa City, Manila",1112.0,432.0
LTFRB_PUJ2575,,Napindan-Pasig via Pateros,2.4961479198767336,00:27:00,00:10:49,LTFRB_3226,"F.Manalo / L.Labao Intersection, Taguig City, Manila",LTFRB_3001,"M. Almeda, Pateros, Manila",1620.0,649.0
LTFRB_PUB1110,,Ayala Ave-Ft Boni StaffHouse via Mckinly,2.172176308539945,00:26:17,00:12:06,LTFRB_3096,"McKinley Pkwy / 9th Ave Intersection, Taguig City, Manila",LTFRB_1981,"Epifanio de los Santos Avenue / McKinley Rd Intersection, Makati City, Manila",1577.0,726.0
LTFRB_PUJ1773,,CUBAO-LIBIS,2.152149944873208,00:32:32,00:15:07,LTFRB_2174,"General Romulo Ave ,Quezon City, Manila",LTFRB_4424,"FVR Rd, Quezon City, Manila",1952.0,907.0
LTFRB_PUJ1310,,EDSA/Shaw - E. Rodriguez (Ugong) via J. Vargas Ave.,2.1380697050938338,00:26:35,00:12:26,LTFRB_3170,"Mayflower, Mandaluyong City, Manila",LTFRB_3206,"Lanuza Ave / C-5 Intersection , Pasig City, Manila",1595.0,746.0
LTFRB_PUJ1889,,MURPHY - QMART,2.10718954248366,00:26:52,00:12:45,LTFRB_2128,"Ermin Garcia Ave, Quezon City, Manila",LTFRB_2163,"15th Ave / Col. Bonny Serrano Intersection, Quezon City, Manila",1612.0,765.0
